Date Time,CONDUCTIVITY (?S/cm)  #21742582,Temp (°C)  #21742582,Specific Conductance (?S/cm),Salinity (ppt),Coupler Detached,Coupler Attached,Stopped,End Of File
06/20/23 17:10:00.000,40957.2,23.07,42574.06868,27.35478537,,,,
06/20/23 17:20:00.000,40962,23.07,42579.05363,27.35835108,,,,
06/20/23 17:30:00.000,40962,23.04,42605.03394,27.3769357,,,,
06/20/23 17:40:00.000,40842.6,22.94,42567.50601,27.35009123,,,,
06/20/23 17:50:00.000,40966.8,22.89,42740.33849,27.47375216,,,,
06/20/23 18:00:00.000,40966.8,22.8,42818.84998,27.52995247,,,,
06/20/23 18:10:00.000,40966.8,22.65,42950.24146,27.62404133,,,,
06/20/23 18:20:00.000,40971.6,22.65,42955.26824,27.62764188,,,,
06/20/23 18:30:00.000,40847.3,22.54,42921.60429,27.60353056,,,,
06/20/23 18:40:00.000,40971.6,22.46,43122.69003,27.74759907,,,,
06/20/23 18:50:00.000,40847.3,22.29,43142.30434,27.76165742,,,,
06/20/23 19:00:00.000,40610,22.09,43068.92024,27.70906525,,,,
06/20/23 19:10:00.000,40610,22.08,43077.79861,27.71542736,,,,
06/20/23 19:20:00.000,40728.4,22,43274.55738,27.85647448,,,,
06/20/23 19:30:00.000,40728.4,21.9,43364.00944,27.92063167,,,,
06/20/23 19:40:00.000,40610,21.79,43336.61047,27.90097826,,,,
06/20/23 19:50:00.000,40605.3,21.47,43620.18876,28.10448448,,,,
06/20/23 20:00:00.000,40600.5,21.14,43915.99176,28.31698555,,,,
06/20/23 20:10:00.000,40478,20.73,44161.39243,28.49345002,,,,
06/20/23 20:20:00.000,40591.1,20.55,44452.50183,28.70298484,,,,
06/20/23 20:30:00.000,40591.1,20.39,44602.70756,28.81118552,,,,
06/20/23 20:40:00.000,40591.1,20.25,44734.83282,28.90641005,,,,
06/20/23 20:50:00.000,40591.1,20.16,44820.11522,28.96789818,,,,
06/20/23 21:00:00.000,40704.7,20.06,45040.58475,29.1269423,,,,
06/20/23 21:10:00.000,40704.7,19.95,45145.84271,29.2029183,,,,
06/20/23 21:20:00.000,40704.7,19.9,45193.82268,29.23756008,,,,
06/20/23 21:30:00.000,40823.5,19.77,45450.89012,29.42326491,,,,
06/20/23 21:40:00.000,40823.5,19.72,45499.31373,29.45826501,,,,
06/20/23 21:50:00.000,40823.5,19.7,45518.70721,29.47228412,,,,
06/20/23 22:00:00.000,40823.5,19.68,45538.11444,29.48631414,,,,
06/20/23 22:10:00.000,40823.5,19.68,45538.11444,29.48631414,,,,
06/20/23 22:20:00.000,40823.5,19.65,45567.25111,29.50737964,,,,
06/20/23 22:30:00.000,40823.5,19.6,45615.88118,29.54254354,,,,
06/20/23 22:40:00.000,40947.7,19.59,45764.05065,29.64972078,,,,
06/20/23 22:50:00.000,40947.7,19.66,45695.76727,29.60032152,,,,
06/20/23 23:00:00.000,40952.4,19.66,45700.99824,29.60410541,,,,
06/20/23 23:10:00.000,40952.4,19.66,45700.99824,29.60410541,,,,
06/20/23 23:20:00.000,40952.4,19.74,45623.15868,29.54780634,,,,
06/20/23 23:30:00.000,40952.4,19.79,45574.62089,29.51270826,,,,
06/20/23 23:40:00.000,41077.2,19.87,45635.43324,29.55668313,,,,
06/20/23 23:50:00.000,41077.2,20.02,45490.31556,29.45176077,,,,
06/21/23 00:00:00.000,41082,20.12,45399.28826,29.38597423,,,,
06/21/23 00:10:00.000,40962,20.13,45257.41167,29.28348077,,,,
06/21/23 00:20:00.000,41082,20.2,45322.46872,29.33047238,,,,
06/21/23 00:30:00.000,41091.6,20.35,45189.54744,29.2344731,,,,
06/21/23 00:40:00.000,41091.6,20.49,45056.30779,29.1382895,,,,
06/21/23 00:50:00.000,40971.6,20.54,44877.73002,29.00944873,,,,
06/21/23 01:00:00.000,40971.6,20.55,44868.28152,29.00263409,,,,
06/21/23 01:10:00.000,40852.1,20.61,44681.24209,28.86778103,,,,
06/21/23 01:20:00.000,41101.3,20.73,44839.97537,28.98221992,,,,
06/21/23 01:30:00.000,40976.4,20.62,44807.47229,28.95878152,,,,
06/21/23 01:40:00.000,40981.2,20.7,44737.40896,28.90826716,,,,
06/21/23 01:50:00.000,40981.2,20.78,44662.31901,28.85414276,,,,
06/21/23 02:00:00.000,40861.6,20.85,44466.90028,28.71335424,,,,
06/21/23 02:10:00.000,40986,20.86,44592.65087,28.80393937,,,,
06/21/23 02:20:00.000,40861.6,20.87,44448.25957,28.69992977,,,,
06/21/23 02:30:00.000,40986,20.87,44583.30455,28.79720529,,,,
06/21/23 02:40:00.000,40866.4,20.88,44444.1538,28.69697304,,,,
06/21/23 02:50:00.000,40742.6,20.85,44337.66349,28.62030032,,,,
06/21/23 03:00:00.000,40747.4,20.82,44370.78586,28.6441452,,,,
06/21/23 03:10:00.000,40747.4,20.78,44408.04407,28.67097086,,,,
06/21/23 03:20:00.000,40747.4,20.75,44436.02199,28.69111713,,,,
06/21/23 03:30:00.000,40624.2,20.71,44339.18863,28.62139821,,,,
06/21/23 03:40:00.000,40628.9,20.65,44400.27165,28.66537447,,,,
06/21/23 03:50:00.000,40506.2,20.56,44350.38754,28.62946006,,,,
06/21/23 04:00:00.000,40388.8,20.41,44362.18679,28.63795443,,,,
06/21/23 04:10:00.000,40624.2,20.61,44432.51695,28.68859311,,,,
06/21/23 04:20:00.000,40510.9,20.56,44355.52237,28.63315662,,,,
06/21/23 04:30:00.000,40633.6,20.88,44191.48159,28.51509746,,,,
06/21/23 04:40:00.000,40515.6,20.96,43989.61386,28.36990991,,,,
06/21/23 04:50:00.000,40402.9,20.97,43858.30611,28.27552714,,,,
06/21/23 05:00:00.000,40402.9,20.96,43867.49086,28.2821276,,,,
06/21/23 05:10:00.000,40290.6,20.93,43773.29931,28.21444885,,,,
06/21/23 05:20:00.000,40290.6,20.99,43718.33024,28.17496295,,,,
06/21/23 05:30:00.000,40058.3,20.99,43466.75651,27.99434997,,,,
06/21/23 05:40:00.000,40058.3,20.96,43494.07249,28.01395307,,,,
06/21/23 05:50:00.000,40058.3,20.97,43484.96398,28.0074162,,,,
06/21/23 06:00:00.000,40174.2,20.93,43647.08766,28.12379894,,,,
06/21/23 06:10:00.000,39947.5,20.86,43465.01946,27.99310346,,,,
06/21/23 06:20:00.000,39713.6,20.7,43356.48791,27.91523625,,,,
06/21/23 06:30:00.000,40178.8,20.88,43697.84724,28.16025141,,,,
06/21/23 06:40:00.000,40290.6,20.83,43865.17116,28.28046057,,,,
06/21/23 06:50:00.000,40178.8,20.78,43789.63153,28.22618228,,,,
06/21/23 07:00:00.000,40062.9,20.7,43737.0275,28.18839286,,,,
06/21/23 07:10:00.000,40412.3,20.75,44071.34454,28.42867966,,,,
06/21/23 07:20:00.000,40525.1,20.7,44240.54919,28.55040384,,,,
06/21/23 07:30:00.000,40525.1,20.57,44361.69434,28.63759991,,,,
06/21/23 07:40:00.000,40647.8,20.52,44542.59722,28.76787806,,,,
06/21/23 07:50:00.000,40647.8,20.49,44570.76435,28.78817036,,,,
06/21/23 08:00:00.000,40407.6,20.4,44392.15764,28.6595323,,,,
06/21/23 08:10:00.000,40525.1,20.36,44558.56244,28.77937954,,,,
06/21/23 08:20:00.000,40529.8,20.32,44601.38647,28.81023362,,,,
06/21/23 08:30:00.000,40766.4,20.28,44899.08712,29.02485319,,,,
06/21/23 08:40:00.000,40643.1,20.23,44810.9585,28.96129534,,,,
06/21/23 08:50:00.000,40761.6,20.08,45084.27145,29.15847224,,,,
06/21/23 09:00:00.000,40756.9,19.81,45338.31841,29.34192249,,,,
06/21/23 09:10:00.000,40876,19.64,45635.42603,29.55667792,,,,
06/21/23 09:20:00.000,40995.6,19.49,45915.39317,29.75925143,,,,
06/21/23 09:30:00.000,40990.8,19.43,45968.96476,29.79803671,,,,
06/21/23 09:40:00.000,40995.6,19.4,46003.84953,29.8232969,,,,
06/21/23 09:50:00.000,40995.6,19.34,46062.97793,29.8661191,,,,
06/21/23 10:00:00.000,40995.6,19.33,46072.84494,29.8732659,,,,
06/21/23 10:10:00.000,40995.6,19.27,46132.12084,29.91620544,,,,
06/21/23 10:20:00.000,40995.6,19.24,46161.80633,29.93771303,,,,
06/21/23 10:30:00.000,41000.4,19.27,46137.50666,29.92010738,,,,
06/21/23 10:40:00.000,41000.4,19.24,46167.19552,29.94161782,,,,
06/21/23 10:50:00.000,41120.5,19.23,46311.96829,30.0465423,,,,
06/21/23 11:00:00.000,41120.5,19.23,46311.96829,30.0465423,,,,
06/21/23 11:10:00.000,41125.4,19.27,46277.76139,30.0217459,,,,
06/21/23 11:20:00.000,41246.1,19.42,46264.3589,30.01203133,,,,
06/21/23 11:30:00.000,41377.1,19.63,46203.20985,29.96771429,,,,
06/21/23 11:40:00.000,41377.1,19.77,46065.61791,29.86803125,,,,
06/21/23 11:50:00.000,41503.9,19.88,46098.46398,29.89182326,,,,
06/21/23 12:00:00.000,41759.3,20.23,46038.66639,29.84851102,,,,
06/21/23 12:10:00.000,41764.2,20.32,45956.59382,29.78907963,,,,
06/21/23 12:20:00.000,41897.8,20.7,45735.87311,29.62933443,,,,
06/21/23 12:30:00.000,41902.7,21.08,45378.63858,29.37105342,,,,
06/21/23 12:40:00.000,42037,21.34,45277.71235,29.29814307,,,,
06/21/23 12:50:00.000,42166.9,21.58,45191.50807,29.23588879,,,,
06/21/23 13:00:00.000,42171.9,21.77,45019.35486,29.11162186,,,,
06/21/23 13:10:00.000,42052,21.85,44817.37703,28.96592366,,,,
06/21/23 13:20:00.000,42057,22.01,44674.92736,28.86322977,,,,
06/21/23 13:30:00.000,42182,22.19,44641.76753,28.8393319,,,,
06/21/23 13:40:00.000,42187,22.31,44537.11046,28.7639255,,,,
06/21/23 13:50:00.000,42317.6,22.42,44574.12157,28.79058912,,,,
06/21/23 14:00:00.000,42322.6,22.53,44479.06538,28.72211565,,,,
06/21/23 14:10:00.000,42322.6,22.7,44324.77381,28.61102177,,,,
06/21/23 14:20:00.000,42453.9,22.77,44398.67045,28.66422158,,,,
06/21/23 14:30:00.000,42459,22.89,44295.54602,28.58998394,,,,
06/21/23 14:40:00.000,42723.5,23.12,44363.32321,28.63877257,,,,
06/21/23 14:50:00.000,42596,23.26,44105.67269,28.45336901,,,,
06/21/23 15:00:00.000,42733.7,23.41,44114.04295,28.4593895,,,,
06/21/23 15:10:00.000,42738.9,23.65,43906.25133,28.30998454,,,,
06/21/23 15:20:00.000,42744,23.85,43735.1568,28.18704913,,,,
06/21/23 15:30:00.000,42749.1,24,43608.88957,28.09637178,,,,
06/21/23 15:40:00.000,43011.2,23.87,43990.72861,28.37071137,,,,
06/21/23 15:50:00.000,42744,23.66,43902.64235,28.30739063,,,,
06/21/23 16:00:00.000,42744,23.63,43929.18609,28.32646946,,,,
06/21/23 16:10:00.000,42621.5,23.66,43776.9017,28.21703683,,,,
06/21/23 16:20:00.000,42494.5,23.7,43611.39321,28.09816934,,,,
06/21/23 16:30:00.000,42626.6,23.73,43720.47169,28.17650107,,,,
06/21/23 16:40:00.000,42759.3,23.87,43733.22942,28.18566469,,,,
06/21/23 16:50:00.000,42499.5,23.84,43493.86205,28.01380204,,,,
06/21/23 17:00:00.000,42504.6,23.89,43455.40709,27.98620572,,,,
06/21/23 17:10:00.000,42509.7,23.89,43460.61844,27.9899453,,,,
06/21/23 17:20:00.000,42509.7,23.91,43443.16849,27.97742377,,,,
06/21/23 17:30:00.000,42383.2,23.79,43418.52951,27.95974497,,,,
06/21/23 17:40:00.000,42383.2,23.81,43401.07126,27.94721939,,,,
06/21/23 17:50:00.000,42388.2,23.79,43423.64872,27.96341794,,,,
06/21/23 18:00:00.000,42514.7,23.65,43676.07475,28.1446149,,,,
06/21/23 18:10:00.000,42383.2,23.55,43628.9535,28.1107777,,,,
06/21/23 18:20:00.000,42514.7,23.48,43826.10898,28.25239096,,,,
06/21/23 18:30:00.000,42509.7,23.38,43909.60902,28.31239788,,,,
06/21/23 18:40:00.000,42388.2,23.34,43819.65005,28.24775003,,,,
06/21/23 18:50:00.000,42636.8,23.16,44237.46029,28.54818104,,,,
06/21/23 19:00:00.000,42764.4,23.11,44414.76766,28.67581218,,,,
06/21/23 19:10:00.000,42636.8,23.05,44336.34779,28.61935321,,,,
06/21/23 19:20:00.000,42378.1,22.68,44400.96347,28.6658726,,,,
06/21/23 19:30:00.000,42242.2,22.38,44531.30492,28.75974338,,,,
06/21/23 19:40:00.000,42242.2,22.33,44577.00682,28.79266787,,,,
06/21/23 19:50:00.000,42499.5,22.51,44683.04208,28.86907838,,,,
06/21/23 20:00:00.000,42499.5,22.45,44737.97336,28.90867403,,,,
06/21/23 20:10:00.000,42499.5,22.37,44811.39134,28.96160745,,,,
06/21/23 20:20:00.000,42499.5,22.26,44912.67124,29.03465176,,,,
06/21/23 20:30:00.000,42237.1,21.87,44995.75266,29.09459082,,,,
06/21/23 20:40:00.000,42357.9,21.57,45405.2794,29.39030344,,,,
06/21/23 20:50:00.000,42227.1,21.29,45529.45706,29.48005536,,,,
06/21/23 21:00:00.000,42347.8,21.1,45840.57746,29.70509794,,,,
06/21/23 21:10:00.000,42222.1,20.94,45857.86771,29.71761178,,,,
06/21/23 21:20:00.000,42217.1,20.83,45958.18659,29.79023284,,,,
06/21/23 21:30:00.000,42217.1,20.76,46025.68676,29.8391109,,,,
06/21/23 21:40:00.000,42212,20.62,46155.62,29.93323075,,,,
06/21/23 21:50:00.000,42086.9,20.51,46125.73932,29.91158222,,,,
06/21/23 22:00:00.000,42086.9,20.33,46301.08091,30.03864977,,,,
06/21/23 22:10:00.000,42081.9,20.27,46354.28049,30.07721833,,,,
06/21/23 22:20:00.000,42081.9,20.18,46442.54429,30.1412237,,,,
06/21/23 22:30:00.000,42081.9,20.03,46590.27408,30.24839609,,,,
06/21/23 22:40:00.000,42081.9,20,46619.91395,30.26990543,,,,
06/21/23 22:50:00.000,41952.4,19.96,46516.25885,30.19469385,,,,
06/21/23 23:00:00.000,42081.9,20.03,46590.27408,30.24839609,,,,
06/21/23 23:10:00.000,42081.9,20.01,46610.0305,30.26273287,,,,
06/21/23 23:20:00.000,41957.4,20.14,46344.67946,30.07025725,,,,
06/21/23 23:30:00.000,41957.4,20.14,46344.67946,30.07025725,,,,
06/21/23 23:40:00.000,41957.4,20.04,46442.93462,30.1415068,,,,
06/21/23 23:50:00.000,42081.9,20.11,46511.38764,30.19116,,,,
06/22/23 00:00:00.000,41957.4,20.04,46442.93462,30.1415068,,,,
06/22/23 00:10:00.000,41952.4,19.92,46555.76496,30.22335602,,,,
06/22/23 00:20:00.000,41952.4,19.91,46565.65021,30.23052852,,,,
06/22/23 00:30:00.000,41957.4,20.04,46442.93462,30.1415068,,,,
06/22/23 00:40:00.000,41957.4,20.16,46325.06996,30.05604042,,,,
06/22/23 00:50:00.000,41962.3,20.32,46174.06949,29.94659854,,,,
06/22/23 01:00:00.000,41967.3,20.49,46014.32865,29.83088547,,,,
06/22/23 01:10:00.000,41967.3,20.57,45936.9141,29.77483148,,,,
06/22/23 01:20:00.000,41967.3,20.65,45859.71647,29.71894987,,,,
06/22/23 01:30:00.000,41848.2,20.68,45701.03707,29.6041335,,,,
06/22/23 01:40:00.000,41967.3,20.68,45830.82313,29.69803856,,,,
06/22/23 01:50:00.000,41848.2,20.71,45672.25374,29.58331355,,,,
06/22/23 02:00:00.000,41848.2,20.68,45701.03707,29.6041335,,,,
06/22/23 02:10:00.000,41848.2,20.61,45768.31596,29.6528069,,,,
06/22/23 02:20:00.000,41724.7,20.65,45595.18601,29.52757833,,,,
06/22/23 02:30:00.000,41848.2,20.67,45710.63824,29.61107882,,,,
06/22/23 02:40:00.000,41853.2,20.72,45668.1102,29.58031655,,,,
06/22/23 02:50:00.000,41848.2,20.8,45586.08493,29.52099746,,,,
06/22/23 03:00:00.000,41853.2,20.82,45572.40619,29.51110694,,,,
06/22/23 03:10:00.000,41729.7,20.85,45409.64536,29.39345836,,,,
06/22/23 03:20:00.000,41611.6,20.87,45262.42012,29.28709806,,,,
06/22/23 03:30:00.000,41734.6,20.91,45357.92235,29.35608562,,,,
06/22/23 03:40:00.000,41611.6,20.89,45243.45991,29.27340464,,,,
06/22/23 03:50:00.000,41606.7,20.86,45266.58506,29.29010618,,,,
06/22/23 04:00:00.000,41489.2,20.82,45176.87472,29.22532289,,,,
06/22/23 04:10:00.000,41611.6,20.81,45319.38038,29.32824139,,,,
06/22/23 04:20:00.000,41367.4,20.72,45139.14495,29.19808296,,,,
06/22/23 04:30:00.000,41734.6,21.07,45206.38775,29.2466331,,,,
06/22/23 04:40:00.000,41362.5,20.55,45295.41335,29.31092859,,,,
06/22/23 04:50:00.000,41739.5,21.15,45136.22585,29.1959756,,,,
06/22/23 05:00:00.000,41744.5,21.34,44963.2266,29.07112279,,,,
06/22/23 05:10:00.000,41621.5,21.42,44756.43211,28.92198125,,,,
06/22/23 05:20:00.000,41503.9,21.39,44658.04949,28.85106575,,,,
06/22/23 05:30:00.000,41626.4,21.46,44724.49156,28.89895534,,,,
06/22/23 05:40:00.000,41626.4,21.47,44715.19954,28.89225722,,,,
06/22/23 05:50:00.000,41626.4,21.52,44668.78778,28.85880484,,,,
06/22/23 06:00:00.000,41626.4,21.5,44687.34282,28.87217816,,,,
06/22/23 06:10:00.000,41626.4,21.49,44696.62517,28.87886863,,,,
06/22/23 06:20:00.000,41626.4,21.49,44696.62517,28.87886863,,,,
06/22/23 06:30:00.000,41631.3,21.5,44692.59415,28.87596315,,,,
06/22/23 06:40:00.000,41631.3,21.49,44701.87756,28.88265452,,,,
06/22/23 06:50:00.000,41508.8,21.4,44654.02354,28.84816432,,,,
06/22/23 07:00:00.000,41503.9,21.26,44779.08755,28.93831513,,,,
06/22/23 07:10:00.000,41503.9,21.26,44779.08755,28.93831513,,,,
06/22/23 07:20:00.000,41265.5,21.12,44652.57443,28.84711999,,,,
06/22/23 07:30:00.000,41508.8,21.18,44859.13079,28.99603443,,,,
06/22/23 07:40:00.000,41508.8,21.13,44905.96562,29.02981476,,,,
06/22/23 07:50:00.000,41503.9,21.04,44985.17371,29.08695765,,,,
06/22/23 08:00:00.000,41626.4,20.99,45164.88378,29.21666534,,,,
06/22/23 08:10:00.000,41631.3,20.85,45302.78706,29.3162549,,,,
06/22/23 08:20:00.000,41749.4,20.81,45469.1478,29.43646067,,,,
06/22/23 08:30:00.000,41749.4,20.73,45545.52629,29.49167262,,,,
06/22/23 08:40:00.000,41382,20.61,45259.54755,29.28502338,,,,
06/22/23 08:50:00.000,41503.9,20.56,45440.35197,29.41564884,,,,
06/22/23 09:00:00.000,41499,20.5,45492.4298,29.45328901,,,,
06/22/23 09:10:00.000,41499,20.44,45549.9817,29.49489377,,,,
06/22/23 09:20:00.000,41621.5,20.35,45770.93888,29.6547047,,,,
06/22/23 09:30:00.000,41621.5,20.35,45770.93888,29.6547047,,,,
06/22/23 09:40:00.000,41616.5,20.19,45920.43369,29.7629004,,,,
06/22/23 09:50:00.000,41616.5,20.03,46076.2904,29.87576156,,,,
06/22/23 10:00:00.000,41734.6,19.96,46275.37413,30.0200155,,,,
06/22/23 10:10:00.000,41858.1,19.82,46550.17794,30.21930233,,,,
06/22/23 10:20:00.000,41734.6,19.77,46462.5773,30.15575362,,,,
06/22/23 10:30:00.000,41734.6,19.71,46521.95604,30.19882698,,,,
06/22/23 10:40:00.000,41734.6,19.6,46631.14546,30.27805661,,,,
06/22/23 10:50:00.000,41853.2,19.56,46803.21977,30.4029785,,,,
06/22/23 11:00:00.000,41858.1,19.54,46828.66821,30.4214599,,,,
06/22/23 11:10:00.000,41977.2,19.52,46981.59643,30.53255574,,,,
06/22/23 11:20:00.000,41977.2,19.5,47001.66411,30.5471385,,,,
06/22/23 11:30:00.000,41977.2,19.52,46981.59643,30.53255574,,,,
06/22/23 11:40:00.000,41987.2,19.52,46992.75758,30.54066619,,,,
06/22/23 11:50:00.000,41987.2,19.66,46852.64942,30.43887727,,,,
06/22/23 12:00:00.000,42116.9,19.76,46897.03669,30.47111929,,,,
06/22/23 12:10:00.000,42116.9,19.92,46737.84816,30.35551132,,,,
06/22/23 12:20:00.000,42247.2,20.13,46673.8758,30.30907075,,,,
06/22/23 12:30:00.000,42252.2,20.24,46570.93116,30.23436035,,,,
06/22/23 12:40:00.000,42257.2,20.3,46517.4418,30.19555203,,,,
06/22/23 12:50:00.000,42383.2,20.32,46636.12611,30.28167138,,,,
06/22/23 13:00:00.000,42257.2,20.46,46360.74945,30.08190868,,,,
06/22/23 13:10:00.000,42514.7,20.64,46466.34396,30.15848569,,,,
06/22/23 13:20:00.000,42393.3,20.88,46101.29404,29.89387335,,,,
06/22/23 13:30:00.000,42519.8,21.07,46055.2406,29.86051504,,,,
06/22/23 13:40:00.000,42524.9,21.18,45955.15362,29.78803688,,,,
06/22/23 13:50:00.000,42535,21.37,45784.55506,29.66455692,,,,
06/22/23 14:00:00.000,42413.5,21.49,45540.3124,29.48790316,,,,
06/22/23 14:10:00.000,42540.1,21.61,45562.46024,29.50391574,,,,
06/22/23 14:20:00.000,42545.2,21.71,45473.63724,29.43970555,,,,
06/22/23 14:30:00.000,42677.6,21.79,45539.50765,29.48732136,,,,
06/22/23 14:40:00.000,42805.4,21.83,45637.92419,29.55848461,,,,
06/22/23 14:50:00.000,42810.6,21.84,45634.03207,29.55566981,,,,
06/22/23 15:00:00.000,42810.6,21.92,45558.7284,29.50121759,,,,
06/22/23 15:10:00.000,42810.6,22.06,45427.4464,29.40632219,,,,
06/22/23 15:20:00.000,42815.7,22.14,45358.1075,29.35621939,,,,
06/22/23 15:30:00.000,42815.7,22.2,45302.18537,29.31582027,,,,
06/22/23 15:40:00.000,42820.8,22.31,45205.33787,29.24587498,,,,
06/22/23 15:50:00.000,42825.9,22.37,45155.1059,29.20960591,,,,
06/22/23 16:00:00.000,42954.5,22.43,45234.86978,29.26720099,,,,
06/22/23 16:10:00.000,42959.6,22.53,45147.71633,29.20427096,,,,
06/22/23 16:20:00.000,42831.1,22.58,44966.8274,29.07372068,,,,
06/22/23 16:30:00.000,42964.8,22.65,45042.5586,29.12836678,,,,
06/22/23 16:40:00.000,42831.1,22.43,45105.08074,29.17349262,,,,
06/22/23 16:50:00.000,42836.2,22.46,45082.73397,29.15736251,,,,
06/22/23 17:00:00.000,42841.3,22.51,45041.9681,29.12794063,,,,
06/22/23 17:10:00.000,42708.2,22.56,44856.29134,28.99398662,,,,
06/22/23 17:20:00.000,42841.3,22.59,44968.3297,29.07480457,,,,
06/22/23 17:30:00.000,42718.4,22.61,44821.1514,28.96864537,,,,
06/22/23 17:40:00.000,42718.4,22.59,44839.4781,28.98186131,,,,
06/22/23 17:50:00.000,42718.4,22.63,44802.83725,28.95543935,,,,
06/22/23 18:00:00.000,42723.5,22.59,44844.82508,28.98571735,,,,
06/22/23 18:10:00.000,42718.4,22.61,44821.1514,28.96864537,,,,
06/22/23 18:20:00.000,42846.5,22.57,44992.17434,29.09200888,,,,
06/22/23 18:30:00.000,42846.5,22.51,45047.42861,29.13188139,,,,
06/22/23 18:40:00.000,42846.5,22.46,45093.56078,29.16517725,,,,
06/22/23 18:50:00.000,42718.4,22.48,44940.49992,29.05472677,,,,
06/22/23 19:00:00.000,42723.5,22.43,44991.90923,29.09181758,,,,
06/22/23 19:10:00.000,42723.5,22.38,45038.03893,29.12510506,,,,
06/22/23 19:20:00.000,42723.5,22.33,45084.24795,29.15845527,,,,
06/22/23 19:30:00.000,42846.5,22.21,45325.4139,29.33259999,,,,
06/22/23 19:40:00.000,42851.6,22.14,45396.08615,29.38366041,,,,
06/22/23 19:50:00.000,42846.5,22.09,45437.41371,29.41352536,,,,
06/22/23 20:00:00.000,42975.1,22,45658.14654,29.57311011,,,,
06/22/23 20:10:00.000,42846.5,21.94,45578.0665,29.51519961,,,,
06/22/23 20:20:00.000,42713.3,21.63,45728.70197,29.62414646,,,,
06/22/23 20:30:00.000,42585.9,21.52,45696.64014,29.60095292,,,,
06/22/23 20:40:00.000,42585.9,21.52,45696.64014,29.60095292,,,,
06/22/23 20:50:00.000,42841.3,21.55,45941.62698,29.77824352,,,,
06/22/23 21:00:00.000,42713.3,21.45,45899.76194,29.74793596,,,,
06/22/23 21:10:00.000,42713.3,21.37,45976.13223,29.80322646,,,,
06/22/23 21:20:00.000,42841.3,21.31,46171.24721,29.94455356,,,,
06/22/23 21:30:00.000,42703.1,20.94,46379.22848,30.09530759,,,,
06/22/23 21:40:00.000,42703.1,20.67,46642.41003,30.2862321,,,,
06/22/23 21:50:00.000,42692.9,20.52,46778.5493,30.38506367,,,,
06/22/23 22:00:00.000,42565.5,20.36,46796.74108,30.39827375,,,,
06/22/23 22:10:00.000,42565.5,20.22,46935.25682,30.49888567,,,,
06/22/23 22:20:00.000,42560.4,20.17,46979.2765,30.53086996,,,,
06/22/23 22:30:00.000,42687.8,20.09,47199.38303,30.6908717,,,,
06/22/23 22:40:00.000,42560.4,20.04,47108.72375,30.62495387,,,,
06/22/23 22:50:00.000,42555.4,19.98,47163.14173,30.66451834,,,,
06/22/23 23:00:00.000,42555.4,19.92,47223.20731,30.70819768,,,,
